,Unnamed: 0,name,artist,genre,artist popularity,song popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,country
52,2,I'm Good (Blue),David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",89,96,0.561,0.965,7,-3.673,0,0.0343,0.00383,0.371,0.304,128.04,Germany
53,3,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,['rap'],92,94,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0822,0.172,97.95,Germany
54,4,Bamba (feat. Aitch & BIA),Luciano,['german drill'],77,74,0.797,0.791,10,-6.281,1,0.33,0.119,0.113,0.828,138.026,Germany
55,5,Unholy (feat. Kim Petras),Sam Smith,"['dance pop', 'pop', 'uk pop']",89,98,0.714,0.472,2,-7.375,1,0.0864,0.013,0.266,0.238,131.121,Germany
56,6,Mockingbird,Eminem,"['detroit hip hop', 'hip hop', 'rap']",92,92,0.637,0.678,0,-3.798,1,0.266,0.209,0.156,0.254,84.039,Germany
57,7,Wildberry Lillet,Nina Chuba,"['german hip hop', 'hamburg hip hop']",71,78,0.89,0.521,6,-7.048,0,0.169,0.078,0.0958,0.646,139.981,Germany
58,8,Escapism.,RAYE,"['dance pop', 'pop', 'uk contemporary r&b', 'uk pop']",79,76,0.538,0.742,2,-5.355,1,0.114,0.138,0.0934,0.25,96.107,Germany
59,9,Glatteis,Nina Chuba,"['german hip hop', 'hamburg hip hop']",71,75,0.782,0.565,6,-7.221,0,0.136,0.113,0.0954,0.137,134.962,Germany
60,10,Miss You,southstar,[],70,83,0.663,0.559,6,-12.876,0,0.0391,0.136,0.108,0.296,145.007,Germany
61,11,Another Love,Tom Odell,"['chill pop', 'pop']",80,66,0.442,0.538,4,-8.55,0,0.0451,0.717,0.09,0.139,122.758,Germany
62,12,Anti-Hero,Taylor Swift,['pop'],99,96,0.637,0.643,4,-6.571,1,0.0519,0.13,0.142,0.533,97.008,Germany
63,13,Give It To Me - Full Vocal Mix,Matt Sassari,"['french tech house', 'french techno']",67,82,0.874,0.869,1,-5.996,0,0.0315,0.00116,0.164,0.726,126.027,Germany
64,14,Ich hass dich,Nina Chuba,"['german hip hop', 'hamburg hip hop']",71,75,0.822,0.683,0,-5.465,0,0.0861,0.481,0.101,0.53,145.045,Germany
65,15,Bad Memories (feat. Elley Duhé & FAST BOY),MEDUZA,"['dance pop', 'edm', 'electro house', 'pop dance', 'pop house', 'tropical house']",77,86,0.607,0.767,5,-6.069,0,0.0474,0.118,0.122,0.662,123.998,Germany
66,16,Beautiful Girl,Luciano,['german drill'],77,70,0.846,0.42,11,-8.659,0,0.104,0.296,0.09,0.621,139.883,Germany
67,17,Buzz Down,Bonez MC,"['german hip hop', 'hamburg hip hop']",77,74,0.837,0.513,1,-8.651,1,0.483,0.473,0.117,0.557,159.966,Germany
68,18,Miss You,Oliver Tree,['alternative hip hop'],83,93,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.146,0.199,145.007,Germany
69,19,Moulaga,MADE,['german hip hop'],66,74,0.719,0.476,2,-10.453,0,0.319,0.166,0.111,0.447,96.962,Germany
70,20,Bloody Mary,Lady Gaga,"['art pop', 'dance pop', 'pop']",87,80,0.591,0.637,9,-6.365,0,0.03,0.0107,0.113,0.432,99.998,Germany
71,21,Bei Nacht,AYLIVA,[],69,70,0.629,0.458,5,-7.159,1,0.0374,0.14,0.263,0.0758,77.525,Germany
72,22,Weihnachtsbäckerei,Nimo,"['german hip hop', 'swedish hip hop']",71,68,0.838,0.771,3,-3.618,0,0.14,0.256,0.125,0.749,134.037,Germany
73,23,Ferrari,James Hype,"['deep groove house', 'edm', 'house', 'pop dance', 'uk dance']",74,86,0.847,0.69,1,-7.877,0,0.0493,0.0127,0.0526,0.692,125.004,Germany
74,24,Kill Bill,SZA,"['pop', 'r&b']",94,87,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.161,0.418,88.98,Germany
75,25,Call It Love,Felix Jaehn,"['dance pop', 'edm', 'electro house', 'german dance', 'pop', 'pop dance', 'tropical house']",75,81,0.616,0.841,5,-4.779,0,0.076,0.0559,0.417,0.714,110.029,Germany
76,26,As It Was,Harry Styles,['pop'],90,92,0.52,0.731,6,-5.338,0,0.0557,0.342,0.311,0.662,173.93,Germany
77,27,Nachts wach,Miksu / Macloud,['german hip hop'],71,73,0.719,0.685,6,-7.083,0,0.257,0.569,0.263,0.632,136.172,Germany
78,28,Belly Dancer,Imanbek,"['dance pop', 'edm', 'electro house', 'pop dance', 'slap house', 'tropical house']",76,85,0.845,0.797,1,-4.984,1,0.139,0.0582,0.167,0.422,121.985,Germany
79,29,Liebst du mich,Sido,['german hip hop'],76,65,0.69,0.783,3,-6.924,1,0.0709,0.00402,0.114,0.814,105.0,Germany
80,30,Powerade,Ion Miles,"['german cloud rap', 'german hip hop', 'german trap']",63,69,0.89,0.72,6,-5.202,0,0.0729,0.193,0.641,0.935,150.09,Germany
81,31,SNAP,Rosa Linn,['alt z'],77,49,0.565,0.636,0,-8.198,1,0.0638,0.107,0.447,0.525,170.01,Germany
82,32,How Do I Say Goodbye,Dean Lewis,"['australian pop', 'pop']",79,76,0.4,0.641,8,-6.303,1,0.0674,0.214,0.0656,0.393,81.552,Germany
83,33,Du Fehlst,Eddin,"['german hip hop', 'german trap']",63,74,0.638,0.442,0,-10.121,0,0.052,0.0993,0.173,0.376,138.859,Germany
84,34,Layla,DJ Robin,['partyschlager'],59,67,0.448,0.921,5,-3.468,0,0.0687,0.00124,0.383,0.375,140.067,Germany
85,35,Made You Look,Meghan Trainor,"['dance pop', 'hip pop', 'pop']",86,94,0.838,0.525,10,-3.562,1,0.0665,0.345,0.0771,0.884,144.981,Germany
86,36,Follow,Kontra K,"['christlicher rap', 'german hip hop']",73,74,0.719,0.628,8,-6.269,0,0.211,0.0733,0.119,0.472,139.957,Germany
87,37,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,"['lgbtq+ hip hop', 'pop']",83,89,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0892,0.308,141.872,Germany
88,38,Party Sahne,Ski Aggu,"['german hip hop', 'german trap']",63,58,0.843,0.928,5,-4.988,0,0.0854,0.0775,0.258,0.725,135.978,Germany
89,39,Sehnsucht,Miksu / Macloud,['german hip hop'],71,72,0.804,0.645,6,-7.069,0,0.0773,0.642,0.173,0.912,142.09,Germany
90,40,Another Love,OsTEKKe,[],59,75,0.63,0.458,6,-14.172,1,0.0718,0.15,0.108,0.208,170.042,Germany
91,41,10:35,Tiësto,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance', 'tropical house']",84,87,0.696,0.793,8,-5.733,1,0.097,0.0683,0.18,0.698,120.003,Germany
92,42,Under The Influence,Chris Brown,"['dance pop', 'r&b']",89,94,0.733,0.69,9,-5.529,0,0.0427,0.0635,0.105,0.31,116.992,Germany
93,43,I Ain't Worried,OneRepublic,"['piano rock', 'pop']",85,94,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.0546,0.825,139.994,Germany
94,44,Nur für Dich,Kontra K,"['christlicher rap', 'german hip hop']",73,73,0.67,0.498,6,-8.236,0,0.332,0.722,0.116,0.355,81.914,Germany
95,45,Heavy Metal Love,twocolors,"['dance pop', 'edm', 'pop dance', 'pop edm', 'tropical house']",65,75,0.768,0.767,5,-8.06,0,0.0358,0.194,0.121,0.457,125.029,Germany
96,46,PARADISE (MIT DIR),Liaze,"['german hip hop', 'german trap']",61,73,0.666,0.534,2,-8.495,0,0.0828,0.269,0.068,0.392,139.998,Germany
97,47,Der Berg ruft,Bausa,['german hip hop'],66,71,0.895,0.763,0,-7.267,1,0.261,0.239,0.314,0.525,129.994,Germany
98,48,Rich Flex,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97,95,0.561,0.52,11,-9.342,0,0.244,0.0503,0.355,0.424,153.15,Germany
99,49,Someone Else,ClockClock,[],61,72,0.817,0.784,5,-4.971,0,0.0463,0.119,0.13,0.537,131.995,Germany
100,0,Amber,Zola,"['french hip hop', 'pop urbaine', 'rap francais']",70,79,0.707,0.778,6,-8.915,1,0.221,0.0853,0.177,0.668,140.988,France
101,1,DIE,Gazo,"['drill francais', 'rap francais']",77,80,0.695,0.63,8,-7.16,0,0.035,0.229,0.118,0.55,130.968,France
102,2,Fetty Wap,Maes,"['french hip hop', 'pop urbaine', 'rap francais']",72,78,0.919,0.621,9,-4.9,1,0.274,0.282,0.0839,0.555,130.12,France
103,3,LET GO,Central Cee,['melodic drill'],83,89,0.735,0.449,2,-9.933,0,0.383,0.859,0.213,0.514,146.016,France
104,4,Merci les bleus,KABONGO-DJ,[],45,62,0.753,0.743,0,-6.419,0,0.0459,0.236,0.12,0.786,107.988,France
105,5,I'm Good (Blue),David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",89,96,0.561,0.965,7,-3.673,0,0.0343,0.00383,0.371,0.304,128.04,France
106,6,Lola,RK,"['french hip hop', 'pop urbaine', 'rap conscient', 'rap francais']",68,69,0.683,0.689,4,-5.62,1,0.183,0.117,0.0688,0.413,73.039,France
107,7,Mr. Ocho,SDM,"['french hip hop', 'pop urbaine', 'rap francais']",73,72,0.716,0.598,0,-7.096,0,0.23,0.324,0.0766,0.729,122.001,France
108,8,DESPECHÁ,ROSALÍA,['r&b en espanol'],86,86,0.914,0.622,7,-6.538,1,0.0892,0.146,0.0632,0.77,130.04,France
109,9,Balader,Soolking,"['francoton', 'french hip hop', 'pop urbaine', 'rap algerien', 'rap tunisien']",73,77,0.603,0.802,4,-5.089,0,0.111,0.306,0.124,0.787,130.121,France
110,10,Unholy (feat. Kim Petras),Sam Smith,"['dance pop', 'pop', 'uk pop']",89,98,0.714,0.472,2,-7.375,1,0.0864,0.013,0.266,0.238,131.121,France
111,11,Coeur De Pirate,Damso,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap conscient']",77,71,0.724,0.55,5,-8.615,0,0.263,0.0362,0.115,0.631,82.893,France
112,12,Urus,Favé,[],62,63,0.71,0.712,11,-7.436,0,0.3,0.0297,0.0975,0.596,162.106,France
113,13,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,['rap'],92,94,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0822,0.172,97.95,France
114,14,I Ain't Worried,OneRepublic,"['piano rock', 'pop']",85,94,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.0546,0.825,139.994,France
115,15,FLEURS (feat. Tiakola),Gazo,"['drill francais', 'rap francais']",77,75,0.673,0.636,10,-7.431,1,0.0771,0.268,0.108,0.438,127.021,France
116,16,Un jour je marierai un ange,Pierre de Maere,[],59,75,0.544,0.578,7,-9.49,0,0.18,0.216,0.0949,0.219,169.973,France
117,17,THE LONELIEST,Måneskin,"['indie rock italiano', 'italian pop']",80,86,0.519,0.595,2,-5.001,1,0.0283,0.00151,0.0762,0.237,129.786,France
118,18,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,"['lgbtq+ hip hop', 'pop']",83,89,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0892,0.308,141.872,France
119,19,TOUT VA BIEN (feat. Ninho & Naps),Alonzo,"['francoton', 'french hip hop', 'french pop', 'pop urbaine', 'rap francais', 'rap marseille']",67,76,0.66,0.72,3,-5.874,0,0.0753,0.301,0.226,0.628,99.937,France
120,20,FADE UP,ZEG P,[],59,76,0.758,0.599,4,-5.99,0,0.0877,0.57,0.129,0.557,129.96,France
121,21,Miss You,Oliver Tree,['alternative hip hop'],83,93,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.146,0.199,145.007,France
122,22,Coco,Lorenzo,"['french hip hop', 'rap conscient']",71,74,0.712,0.493,6,-7.778,1,0.075,0.591,0.135,0.549,132.827,France
123,23,SNAP,Rosa Linn,['alt z'],77,49,0.565,0.636,0,-8.198,1,0.0638,0.107,0.447,0.525,170.01,France
124,24,Meuda,Tiakola,['pop urbaine'],75,74,0.724,0.593,9,-6.498,1,0.0766,0.508,0.196,0.624,141.901,France
125,25,Freed from Desire,Gala,"['eurodance', 'europop', 'hip house']",64,40,0.715,0.76,2,-7.534,0,0.0408,0.389,0.107,0.667,128.984,France
126,26,CP_009_ Évidemment,Orelsan,"['french hip hop', 'old school rap francais', 'rap conscient']",73,73,0.713,0.67,9,-6.447,0,0.305,0.113,0.52,0.457,120.76,France
127,27,Ma Came,Dertay,[],52,68,0.877,0.621,11,-7.161,0,0.104,0.475,0.241,0.876,118.005,France
128,28,PETETE,Gambi,"['french hip hop', 'pop urbaine', 'rap francais']",62,75,0.752,0.669,10,-9.817,0,0.251,0.167,0.0795,0.627,155.997,France
129,29,As It Was,Harry Styles,['pop'],90,92,0.52,0.731,6,-5.338,0,0.0557,0.342,0.311,0.662,173.93,France
130,30,RAPPEL,Gazo,"['drill francais', 'rap francais']",77,72,0.486,0.786,4,-6.468,0,0.209,0.441,0.077,0.534,94.644,France
131,31,Namek,Jul,"['francoton', 'rap marseille']",82,68,0.64,0.541,7,-7.731,0,0.162,0.755,0.0966,0.765,88.127,France
132,32,À peu près,Lomepal,"['french hip hop', 'rap conscient']",73,74,0.739,0.682,10,-6.811,1,0.0561,0.089,0.526,0.638,129.983,France
133,33,Δ. Dieu ne ment jamais,Damso,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap conscient']",77,74,0.756,0.736,11,-7.719,1,0.0443,0.0597,0.0373,0.612,115.985,France
134,34,Calm Down (with Selena Gomez),Rema,['nigerian pop'],81,93,0.801,0.806,11,-5.206,1,0.0381,0.382,0.114,0.802,106.999,France
135,35,Another Love,Tom Odell,"['chill pop', 'pop']",80,66,0.442,0.538,4,-8.55,0,0.0451,0.717,0.09,0.139,122.758,France
136,36,Solitaire,Werenoi,"['french hip hop', 'pop urbaine', 'rap francais']",67,69,0.765,0.744,1,-9.147,0,0.0644,0.244,0.0966,0.523,117.989,France
137,37,Doja,Central Cee,['melodic drill'],83,88,0.911,0.573,6,-7.43,1,0.288,0.38,0.403,0.972,140.04,France
138,38,CUFF IT,Beyoncé,"['dance pop', 'pop', 'r&b']",87,92,0.78,0.689,7,-5.668,1,0.141,0.0368,0.0698,0.642,115.042,France
139,39,Shining Light,Aime Simone,[],57,72,0.661,0.425,4,-11.185,0,0.0372,0.2,0.104,0.252,115.923,France
140,40,Cœur blanc,Jul,"['francoton', 'rap marseille']",82,71,0.882,0.716,9,-7.061,0,0.0748,0.00973,0.0772,0.519,135.999,France
141,41,Pas bête,Beendo Z,"['pop urbaine', 'rap francais']",61,73,0.734,0.532,7,-9.038,0,0.102,0.361,0.105,0.491,138.043,France
142,42,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",90,77,0.247,0.299,9,-6.083,1,0.0315,0.899,0.131,0.172,177.115,France
143,43,La vie qu'on mène,Ninho,"['french hip hop', 'pop urbaine']",80,73,0.8,0.756,7,-4.4,0,0.0367,0.687,0.111,0.456,113.204,France
144,44,Gasolina (feat. Rsko),Tiakola,['pop urbaine'],75,73,0.684,0.493,6,-7.946,0,0.124,0.517,0.0672,0.501,119.087,France
145,45,Sharks,Imagine Dragons,"['modern rock', 'rock']",89,74,0.927,0.642,10,-4.466,0,0.0657,0.00791,0.279,0.901,123.969,France
146,46,"DANÇARINA (feat. Nicky Jam, MC Pedrinho) - Remix",PEDRO SAMPAIO,"['funk carioca', 'funk rj']",71,76,0.763,0.669,9,-4.402,0,0.0651,0.156,0.0867,0.609,135.028,France
147,47,Salomé,Tayc,['pop urbaine'],74,71,0.657,0.538,0,-6.287,0,0.192,0.139,0.12,0.189,133.758,France
148,48,Des milliers de je t'aime,Slimane,"['francoton', 'french pop']",65,70,0.545,0.552,6,-6.049,0,0.064,0.738,0.0814,0.276,134.8,France
149,49,Peur (feat. Ziak),Kerchak,[],67,65,0.701,0.834,9,-5.024,1,0.364,0.196,0.0264,0.799,159.964,France
150,0,Kill Bill,SZA,"['pop', 'r&b']",94,87,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.161,0.418,88.98,Great Britain
151,1,Escapism.,RAYE,"['dance pop', 'pop', 'uk contemporary r&b', 'uk pop']",79,76,0.538,0.742,2,-5.355,1,0.114,0.138,0.0934,0.25,96.107,Great Britain
152,2,LET GO,Central Cee,['melodic drill'],83,89,0.735,0.449,2,-9.933,0,0.383,0.859,0.213,0.514,146.016,Great Britain
153,3,Anti-Hero,Taylor Swift,['pop'],99,96,0.637,0.643,4,-6.571,1,0.0519,0.13,0.142,0.533,97.008,Great Britain
154,4,Out Of Nowhere,Bugzy Malone,"['grime', 'manchester hip hop', 'uk hip hop']",68,79,0.724,0.815,8,-5.509,1,0.33,0.134,0.181,0.685,130.04,Great Britain
155,5,Unholy (feat. Kim Petras),Sam Smith,"['dance pop', 'pop', 'uk pop']",89,98,0.714,0.472,2,-7.375,1,0.0864,0.013,0.266,0.238,131.121,Great Britain
156,6,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,['rap'],92,94,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0822,0.172,97.95,Great Britain
157,7,Made You Look,Meghan Trainor,"['dance pop', 'hip pop', 'pop']",86,94,0.838,0.525,10,-3.562,1,0.0665,0.345,0.0771,0.884,144.981,Great Britain
158,8,I'm Good (Blue),David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",89,96,0.561,0.965,7,-3.673,0,0.0343,0.00383,0.371,0.304,128.04,Great Britain
159,9,As It Was,Harry Styles,['pop'],90,92,0.52,0.731,6,-5.338,0,0.0557,0.342,0.311,0.662,173.93,Great Britain
160,10,messy in heaven,venbee,[],65,79,0.62,0.837,8,-4.356,0,0.13,0.128,0.242,0.433,172.081,Great Britain
161,11,Miss You,Oliver Tree,['alternative hip hop'],83,93,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.146,0.199,145.007,Great Britain
162,12,I Ain't Worried,OneRepublic,"['piano rock', 'pop']",85,94,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.0546,0.825,139.994,Great Britain
163,13,Rich Flex,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97,95,0.561,0.52,11,-9.342,0,0.244,0.0503,0.355,0.424,153.15,Great Britain
164,14,Bad Habit,Steve Lacy,['afrofuturism'],85,87,0.686,0.494,1,-7.093,1,0.0355,0.613,0.402,0.7,168.946,Great Britain
165,15,Another Love,Tom Odell,"['chill pop', 'pop']",80,66,0.442,0.538,4,-8.55,0,0.0451,0.717,0.09,0.139,122.758,Great Britain
166,16,Sweater Weather,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",85,92,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.101,0.398,124.053,Great Britain
167,17,Under The Influence,Chris Brown,"['dance pop', 'r&b']",89,94,0.733,0.69,9,-5.529,0,0.0427,0.0635,0.105,0.31,116.992,Great Britain
168,18,Forget Me,Lewis Capaldi,"['pop', 'uk pop']",82,85,0.669,0.742,1,-3.518,0,0.0441,0.296,0.355,0.716,101.982,Great Britain
169,19,CUFF IT,Beyoncé,"['dance pop', 'pop', 'r&b']",87,92,0.78,0.689,7,-5.668,1,0.141,0.0368,0.0698,0.642,115.042,Great Britain
170,20,Doja,Central Cee,['melodic drill'],83,88,0.911,0.573,6,-7.43,1,0.288,0.38,0.403,0.972,140.04,Great Britain
